Time(s), N2(mol/L), H2(mol/L), NH3(mol/L)
0.0, 38.0, 95.0, 0.0
0.1, 37.91, 94.73, 0.18
0.2, 37.82, 94.46, 0.36
0.3, 37.73, 94.19, 0.54
0.4, 37.64, 93.93, 0.72
0.5, 37.55, 93.66, 0.89
0.6, 37.47, 93.40, 1.07
0.7, 37.38, 93.14, 1.24
0.8, 37.29, 92.88, 1.41
0.9, 37.21, 92.62, 1.58
1.0, 37.12, 92.37, 1.75
1.1, 37.04, 92.11, 1.92
1.2, 36.95, 91.86, 2.09
1.3, 36.87, 91.61, 2.26
1.4, 36.79, 91.36, 2.43
1.5, 36.70, 91.11, 2.59
1.6, 36.62, 90.87, 2.75
1.7, 36.54, 90.62, 2.92
1.8, 36.46, 90.38, 3.08
1.9, 36.38, 90.14, 3.24
2.0, 36.30, 89.90, 3.40
2.1, 36.22, 89.66, 3.56
2.2, 36.14, 89.42, 3.72
2.3, 36.06, 89.19, 3.87
2.4, 35.98, 88.95, 4.03
2.5, 35.91, 88.72, 4.19
2.6, 35.83, 88.49, 4.34
2.7, 35.75, 88.26, 4.49
2.8, 35.68, 88.03, 4.65
2.9, 35.60, 87.80, 4.80
3.0, 35.53, 87.58, 4.95
3.1, 35.45, 87.35, 5.10
3.2, 35.38, 87.13, 5.25
3.3, 35.30, 86.91, 5.39
3.4, 35.23, 86.69, 5.54
3.5, 35.16, 86.47, 5.69
3.6, 35.08, 86.25, 5.83
3.7, 35.01, 86.03, 5.98
3.8, 34.94, 85.82, 6.12
3.9, 34.87, 85.61, 6.26
4.0, 34.80, 85.39, 6.40
4.1, 34.73, 85.18, 6.55
4.2, 34.66, 84.97, 6.69
4.3, 34.59, 84.76, 6.82
4.4, 34.52, 84.56, 6.96
4.5, 34.45, 84.35, 7.10
4.6, 34.38, 84.14, 7.24
4.7, 34.31, 83.94, 7.37
4.8, 34.25, 83.74, 7.51
4.9, 34.18, 83.54, 7.64
5.0, 34.11, 83.34, 7.78
5.1, 34.05, 83.14, 7.91
5.2, 33.98, 82.94, 8.04
5.3, 33.91, 82.74, 8.17
5.4, 33.85, 82.55, 8.30
5.5, 33.78, 82.35, 8.43
5.6, 33.72, 82.16, 8.56
5.7, 33.65, 81.96, 8.69
5.8, 33.59, 81.77, 8.82
5.9, 33.53, 81.58, 8.94
6.0, 33.46, 81.39, 9.07
6.1, 33.40, 81.21, 9.20
6.2, 33.34, 81.02, 9.32
6.3, 33.28, 80.83, 9.44
6.4, 33.22, 80.65, 9.57
6.5, 33.16, 80.47, 9.69
6.6, 33.09, 80.28, 9.81
6.7, 33.03, 80.10, 9.93
6.8, 32.97, 79.92, 10.05
6.9, 32.91, 79.74, 10.17
7.0, 32.85, 79.56, 10.29
7.1, 32.79, 79.38, 10.41
7.2, 32.74, 79.21, 10.53
7.3, 32.68, 79.03, 10.64
7.4, 32.62, 78.86, 10.76
7.5, 32.56, 78.68, 10.88
7.6, 32.50, 78.51, 10.99
7.7, 32.45, 78.34, 11.11
7.8, 32.39, 78.17, 11.22
7.9, 32.33, 78.00, 11.33
8.0, 32.28, 77.83, 11.45
8.1, 32.22, 77.66, 11.56
8.2, 32.17, 77.50, 11.67
8.3, 32.11, 77.33, 11.78
8.4, 32.06, 77.17, 11.89
8.5, 32.00, 77.00, 12.00
8.6, 31.95, 76.84, 12.11
8.7, 31.89, 76.68, 12.22
8.8, 31.84, 76.51, 12.32
8.9, 31.78, 76.35, 12.43
9.0, 31.73, 76.19, 12.54
9.1, 31.68, 76.04, 12.64
9.2, 31.63, 75.88, 12.75
9.3, 31.57, 75.72, 12.85
9.4, 31.52, 75.56, 12.96
9.5, 31.47, 75.41, 13.06
9.6, 31.42, 75.25, 13.16
9.7, 31.37, 75.10, 13.27
9.8, 31.32, 74.95, 13.37
9.9, 31.27, 74.80, 13.47
10.0, 31.22, 74.65, 13.57
10.1, 31.16, 74.49, 13.67
10.2, 31.12, 74.35, 13.77
10.3, 31.07, 74.20, 13.87
10.4, 31.02, 74.05, 13.97
10.5, 30.97, 73.90, 14.07
10.6, 30.92, 73.76, 14.16
10.7, 30.87, 73.61, 14.26
10.8, 30.82, 73.47, 14.36
10.9, 30.77, 73.32, 14.45
11.0, 30.73, 73.18, 14.55
11.1, 30.68, 73.04, 14.64
11.2, 30.63, 72.89, 14.74
11.3, 30.58, 72.75, 14.83
11.4, 30.54, 72.61, 14.92
11.5, 30.49, 72.47, 15.02
11.6, 30.44, 72.33, 15.11
11.7, 30.40, 72.20, 15.20
11.8, 30.35, 72.06, 15.29
11.9, 30.31, 71.92, 15.38
12.0, 30.26, 71.79, 15.48
12.1, 30.22, 71.65, 15.57
12.2, 30.17, 71.52, 15.65
12.3, 30.13, 71.38, 15.74
12.4, 30.08, 71.25, 15.83
12.5, 30.04, 71.12, 15.92
12.6, 30.00, 70.99, 16.01
12.7, 29.95, 70.86, 16.10
12.8, 29.91, 70.73, 16.18
12.9, 29.87, 70.60, 16.27
13.0, 29.82, 70.47, 16.35
13.1, 29.78, 70.34, 16.44
13.2, 29.74, 70.21, 16.53
13.3, 29.70, 70.09, 16.61
13.4, 29.65, 69.96, 16.69
13.5, 29.61, 69.83, 16.78
13.6, 29.57, 69.71, 16.86
13.7, 29.53, 69.58, 16.94
13.8, 29.49, 69.46, 17.03
13.9, 29.45, 69.34, 17.11
14.0, 29.41, 69.22, 17.19
14.1, 29.36, 69.09, 17.27
14.2, 29.32, 68.97, 17.35
14.3, 29.28, 68.85, 17.43
14.4, 29.24, 68.73, 17.51
14.5, 29.20, 68.61, 17.59
14.6, 29.16, 68.49, 17.67
14.7, 29.13, 68.38, 17.75
14.8, 29.09, 68.26, 17.83
14.9, 29.05, 68.14, 17.91
15.0, 29.01, 68.03, 17.98
15.1, 28.97, 67.91, 18.06
15.2, 28.93, 67.80, 18.14
15.3, 28.89, 67.68, 18.21
15.4, 28.86, 67.57, 18.29
15.5, 28.82, 67.45, 18.36
15.6, 28.78, 67.34, 18.44
15.7, 28.74, 67.23, 18.51
15.8, 28.71, 67.12, 18.59
15.9, 28.67, 67.01, 18.66
16.0, 28.63, 66.90, 18.74
